Cueanexo,id_prov,id_depto,Jardin_maternal,Jardin_infantes,Primario,Secundario,Secundario_tecnico
20020100,2,98,1,1,1,1, 
20020200,2,105, , ,1, , 
20020300,2,105, ,1,1,1, 
20020600,2,84, ,1,1, , 
20020700,2,84, , ,1, , 
20020800,2,84, , ,1, , 
20020900,2,105,1,1,1,1, 
20021200,2,98,1,1, , , 
20021300,2,91, , ,1, , 
20021400,2,35, , ,1, , 
20021500,2,77, , ,1, , 
20021600,2,77, , ,1, , 
20021700,2,91,1,1,1,1, 
20021800,2,91,1,1,1,1, 
20021900,2,77, , ,1, , 
20022000,2,77,1,1, , , 
20022001,2,49, ,1, , , 
20022002,2,49, ,1, , , 
20022003,2,49, ,1, , , 
20022100,2,105, , ,1, , 
20022200,2,105, , , , , 
20022300,2,105,1,1,1,1, 
20022400,2,105,1,1,1, , 
20022500,2,105, ,1,1, , 
20023000,2,84, , ,1, , 
20023100,2,84, ,1,1,1, 
20023200,2,7, , , , , 
20023300,2,7, , , , , 
20023400,2,105, ,1,1, , 
20023500,2,105, , , ,1, 
20023600,2,35, , ,1, , 
20023700,2,84, , ,1, , 
20023800,2,70, , , , , 
20023900,2,98, ,1, , , 
20023901,2,91, ,1, , , 
20024000,2,77, , , , , 
20024300,2,7, , , , , 
20024800,2,14,1,1,1,1, 
20024900,2,7, ,1, , , 
20024902,2,7, ,1, , , 
20024903,2,7, ,1, , , 
20025000,2,7, , ,1, , 
20025100,2,7, , ,1, , 
20025300,2,49, ,1,1,1, 
20025400,2,56, ,1,1, , 
20025500,2,56, ,1, , , 
20025600,2,35, , , , , 
20025700,2,42, , , , , 
20025800,2,63, , , , , 
20025900,2,56, , , , , 
20026000,2,70, , , , , 
20026100,2,70, , , , , 
20026200,2,70, , , , , 
20026300,2,77, , , , , 
20026400,2,91,1,1,1,1, 
20026600,2,84, , , , , 
20026800,2,56, , ,1, , 
20026900,2,35, , , , , 
20027000,2,42, , , , , 
20027100,2,42, , , , , 
20027200,2,105, , , , , 
20027300,2,21, , , , , 
20027400,2,56, ,1, , , 
20027500,2,56, ,1, , , 
20027600,2,63,1,1,1,1, 
20027800,2,56, ,1, , , 
20027804,2,56, ,1, , , 
20027900,2,56, , ,1, , 
20028100,2,91, , ,1, , 
20028300,2,42, , , , , 
20028400,2,35, , , , , 
20028500,2,56, , , ,1, 
20028600,2,56, , , ,1, 
20028700,2,21,1,1,1,1, 
20028900,2,21, , ,1, , 
20029000,2,21, ,1, , , 
20029001,2,21, ,1, , , 
20029002,2,21, ,1, , , 
20029300,2,14, ,1,1,1, 
20029400,2,21, ,1, , , 
20029401,2,21, ,1, , , 
20029500,2,14, ,1,1,1, 
20029600,2,28, , ,1, , 
20029700,2,28, , ,1, , 
20029800,2,28, , ,1, , 
20029900,2,84, , , ,1,1
20030100,2,35, , , , , 
20030200,2,49, , ,1, , 
20030300,2,49, ,1,1, , 
20030400,2,70, , ,1, , 
20030500,2,35, , ,1, , 
20030700,2,35,1,1,1,1, 
20030900,2,7, ,1, , , 
20030902,2,7, ,1, , , 
20031000,2,7, , , , , 
20031100,2,7, , ,1, , 
20031200,2,91, , , , , 
20031700,2,91, , , ,1, 
20031900,2,91, , ,1, , 
20032000,2,98, , , , , 
20032100,2,28, , , , , 
20032200,2,28, , , , , 
20032300,2,28, , , , , 
20032400,2,84, , ,1, , 
20032500,2,84, , ,1, , 
20032600,2,84, , , , , 
20032800,2,63, , ,1, , 
20032900,2,35, , ,1, , 
20033000,2,63, , ,1, , 
20033100,2,63,1,1,1, , 
20033300,2,91, , ,1, , 
20033400,2,28, ,1,1, , 
20033500,2,98,1,1,1, , 
20033600,2,98, ,1, , , 
20033601,2,98, ,1, , , 
20033602,2,98, ,1, , , 
20033700,2,98, , , , , 
20034100,2,84, , ,1, , 
20034200,2,70,1,1, , , 
20034400,2,49,1,1, , , 
20034401,2,49, ,1, , , 
20034402,2,49, ,1, , , 
20034403,2,49, ,1, , , 
20034500,2,49, , , , , 
20034700,2,91, , , , , 
20034800,2,84, , , , , 
20034900,2,84, , ,1, , 
20035000,2,84, , , ,1, 
20035100,2,77, , ,1, , 
20035200,2,105, , ,1, , 
20035300,2,105,1,1, , , 
20035400,2,14,1,1,1,1, 
20035500,2,14,1,1,1, , 
20035600,2,14, , , , , 
20035800,2,91, , ,1, , 
20036100,2,14, , , , , 
20036200,2,56, , ,1, , 
20036300,2,84, , ,1, , 
20036400,2,105, , , ,1, 
20036500,2,42, , , , , 
20036600,2,42, , , , , 
20036601,2,56, , , , , 
20036800,2,42,1,1,1, , 
20037000,2,105, , ,1, , 
20037100,2,21, , , , , 
20037200,2,70, , , , , 
20037300,2,21, , , , , 
20037400,2,21, , , , , 
20037500,2,21, , , , , 
20037600,2,35, , , , , 
20037900,2,42,1,1, , , 
20038000,2,49, , ,1, , 
20038100,2,56, ,1, , , 
20038200,2,49, ,1, , , 
20038300,2,84, , , ,1, 
20038400,2,84, , , , , 
20038500,2,84, , , , , 
20038600,2,35, , ,1, , 
20038700,2,84,1,1,1,1, 
20038800,2,35, , , , , 
20038900,2,28, , , , , 
20039000,2,98, , , , , 
20039100,2,14, , , , , 
20039200,2,7, , , , , 
20039300,2,14, , , , , 
20039400,2,14, , , , , 
20039800,2,49,1,1,1, , 
20039900,2,77, , ,1, , 
20040000,2,49, , ,1, , 
20040100,2,91, , , ,1, 
20040200,2,35, ,1,1,1, 
20040300,2,49,1,1,1, , 
20040400,2,35, , ,1, , 
20040500,2,98, , , , , 
20040700,2,21,1,1,1,1, 
20040800,2,35, , , , , 
20040900,2,56, , , , , 
20041000,2,21, , ,1, , 
20041100,2,28, ,1,1,1, 
20041200,2,21, ,1,1, , 
20041300,2,70, , ,1, , 
20041400,2,91, , , ,1, 
20041500,2,91,1,1,1,1, 
20041600,2,91, , , , , 
20041700,2,70, , ,1, , 
20041800,2,28, , ,1, , 
20041900,2,49, , ,1, , 
20042000,2,35, ,1,1,1, 
20042100,2,91, , ,1, , 
20042200,2,28,1,1,1,1, 
20042300,2,21, , , , , 
20042400,2,7, , , , , 
20042500,2,21, ,1,1, , 
20042600,2,56, ,1, , , 
20042700,2,84, ,1, , , 
20042800,2,77,1,1,1,1, 
20043100,2,7, , , , , 
20043300,2,56, , ,1, , 
20043600,2,105, , , , , 
20043700,2,98, ,1,1, , 
20043800,2,21, , ,1, , 
20043900,2,21, ,1, , , 
20044000,2,77,1,1,1, , 
20044100,2,28, , ,1, , 
20044200,2,28, ,1, , , 
20044400,2,49, ,1, , , 
20044401,2,49, ,1, , , 
20044402,2,49, ,1, , , 
20044600,2,35, ,1,1, , 
20044700,2,77, , ,1, , 
20045100,2,105, , , , , 
20045200,2,21, , , , , 
20045300,2,21, , , , , 
20045500,2,28, ,1,1, , 
20045600,2,7, ,1,1, , 
20045700,2,7, ,1,1, , 
20045800,2,35, , , , , 
20045900,2,21, , , , , 
20046000,2,91, , , ,1, 
20046100,2,91, , ,1, , 
20046200,2,70, , ,1, , 
20046300,2,84, , ,1, , 
20046400,2,42,1,1,1, , 
20046500,2,77, , , , , 
20046700,2,91,1,1, , , 
20046702,2,91, ,1, , , 
20046703,2,91,1,1, , , 
20046800,2,28, , , , , 
20046900,2,7, , , ,1,1
20047000,2,28, , ,1, , 
20047200,2,28, , ,1, , 
20047300,2,28, , ,1, , 
20047400,2,28, , ,1, , 
20047600,2,28, , ,1, , 
20047700,2,28, ,1, , , 
20047800,2,105, , , ,1,1
20047900,2,98, ,1,1,1, 
20048000,2,14, , , , , 
20048100,2,14, , ,1, , 
20048300,2,98, , , ,1, 
20048400,2,28, , ,1, , 
20048500,2,28, , ,1, , 
20048600,2,77,1,1,1,1, 
20048700,2,49, , , ,1, 
20048900,2,91, , ,1, , 
20049000,2,105, , ,1, , 
20049100,2,21, , ,1, , 
20049200,2,21, ,1, , , 
20049300,2,105,1,1,1,1, 
20049400,2,105, , , ,1, 
20049500,2,77, , ,1, , 
20049600,2,91, ,1,1,1, 
20049700,2,84, , ,1, , 
20049800,2,28, , , , , 
20049900,2,28, , , ,1,1
20050000,2,91, , , ,1, 
20050200,2,91, ,1,1,1, 
20050300,2,28,1,1,1,1, 
20050400,2,7, , ,1, , 
20050500,2,21, , , , , 
20050600,2,21, , , ,1,1
20050800,2,28, ,1,1,1, 
20050900,2,7, , , ,1,1
20051100,2,91,1,1,1,1, 
20051200,2,63,1,1,1,1, 
20051300,2,63,1,1,1,1, 
20051400,2,63, , ,1, , 
20051600,2,105, , ,1, , 
20051800,2,105, , ,1, , 
20051900,2,105, , ,1, , 
20052000,2,28, , ,1, , 
20052100,2,28,1,1,1,1, 
20052300,2,28, , ,1, , 
20052400,2,21, , ,1, , 
20052500,2,7,1,1,1, , 
20052600,2,91, , , , , 
20052700,2,91, , ,1,1, 
20052800,2,7, , ,1, , 
20053000,2,91, , ,1, , 
20053100,2,91, , , , , 
20053200,2,91,1,1,1, , 
20053300,2,84, , ,1, , 
20053400,2,91,1,1,1,1, 
20053500,2,91, ,1,1,1, 
20053600,2,7, , ,1,1, 
20053601,2,56, , , , , 
20053602,2,7, ,1, , , 
20053700,2,21, , , , , 
20053800,2,7, , , , , 
20053900,2,35, , , , , 
20054000,2,28, , ,1, , 
20054100,2,28, ,1,1,1, 
20054200,2,28,1,1, , , 
20054300,2,7, , , ,1, 
20054400,2,105, , ,1, , 
20054500,2,105,1,1,1, , 
20054600,2,105, , ,1, , 
20054700,2,98, , , , , 
20054900,2,28, , , , , 
20055100,2,35, , , , , 
20055300,2,98, , , , , 
20055400,2,70, ,1, , , 
20055401,2,70, ,1, , , 
20055402,2,70, ,1, , , 
20055403,2,63, ,1, , , 
20055404,2,63, ,1, , , 
20055500,2,21, , , ,1, 
20055600,2,63, , ,1, , 
20055700,2,70, , ,1, , 
20055800,2,91, , ,1, , 
20055900,2,91,1,1, , , 
20056000,2,84, ,1,1,1, 
20056100,2,7,1,1,1,1, 
20056200,2,7, ,1,1,1, 
20056300,2,21, , , ,1, 
20056400,2,7, , , , , 
20056500,2,7, ,1,1,1, 
20056600,2,28, , ,1, , 
20056700,2,49, , ,1, , 
20056800,2,7, , , ,1,1
20057000,2,56, , ,1, , 
20057100,2,56, ,1,1,1, 
20057200,2,14, ,1,1,1, 
20057500,2,105,1,1,1, , 
20057800,2,21, , ,1, , 
20057900,2,21,1,1,1,1, 
20058000,2,21, ,1, , , 
20058001,2,21, ,1, , , 
20058100,2,105, , ,1, , 
20058200,2,105, , ,1, , 
20058300,2,7, , , ,1,1
20058400,2,7, , ,1,1, 
20058401,2,28, , , , , 
20058500,2,91,1,1,1, , 
20058800,2,91,1,1,1,1, 
20058900,2,28, , ,1, , 
20059200,2,91, , ,1, , 
20059300,2,105, , ,1, , 
20059400,2,84,1,1,1,1, 
20059500,2,28, ,1, , , 
20059600,2,28, , ,1, , 
20059800,2,105, , ,1, , 
20059900,2,84, , ,1, , 
20060000,2,28, ,1,1,1, 
20060100,2,28, , ,1, , 
20060200,2,14, , , ,1, 
20060300,2,21, , , , , 
20060500,2,21,1,1,1,1, 
20060600,2,28, ,1, , , 
20060700,2,7, , ,1, , 
20061100,2,49, , , ,1, 
20061200,2,49, , , ,1,1
20061300,2,49,1,1,1,1, 
20061400,2,84,1,1,1, , 
20061500,2,105, , ,1, , 
20061600,2,49,1,1,1,1, 
20061700,2,7, ,1, , , 
20061701,2,7, ,1, , , 
20061703,2,28, ,1, , , 
20061704,2,28, ,1, , , 
20061800,2,77, , ,1, , 
20061900,2,84, , ,1, , 
20062000,2,28, ,1,1,1, 
20062100,2,28, ,1, , , 
20062200,2,91, , , ,1,1
20062300,2,28, , , ,1, 
20062400,2,91,1,1,1,1, 
20062600,2,28, , , , , 
20062800,2,7, , , ,1, 
20062900,2,7, , ,1, , 
20063000,2,7,1,1, , , 
20063100,2,7, , ,1, , 
20063200,2,7, ,1,1, , 
20063300,2,7, ,1,1,1, 
20063500,2,21, , ,1, , 
20063700,2,56, , , ,1, 
20063800,2,56, , ,1, , 
20063900,2,56,1,1, , , 
20064100,2,56, ,1,1,1, 
20064200,2,14,1,1,1, , 
20064300,2,21, , , ,1, 
20064400,2,21, , ,1, , 
20064500,2,14, , ,1, , 
20064600,2,98, , ,1, , 
20064700,2,98,1,1, , , 
20064800,2,14, , ,1, , 
20064900,2,56, , , ,1, 
20065000,2,7, , ,1,1, 
20065100,2,35, , , , , 
20065200,2,21, , , ,1, 
20065300,2,105,1,1,1,1, 
20065400,2,28, , ,1, , 
20065500,2,35, ,1,1,1, 
20065600,2,35, , ,1, , 
20065800,2,35, ,1,1,1, 
20065900,2,21, , ,1, , 
20066000,2,35, , ,1, , 
20066100,2,35, , ,1, , 
20066200,2,70, , ,1, , 
20066300,2,63,1,1,1,1, 
20066400,2,70, ,1,1,1, 
20066600,2,56, ,1, , , 
20066700,2,56, , ,1, , 
20066800,2,56,1,1,1,1, 
20066900,2,56, , ,1, , 
20067000,2,14, ,1,1, , 
20067200,2,56,1,1,1,1, 
20067300,2,14,1,1,1,1, 
20067400,2,84,1,1,1,1, 
20067500,2,14, ,1,1,1, 
20067600,2,28, ,1,1,1, 
20067700,2,70, ,1,1,1, 
20067800,2,70, , ,1, , 
20068000,2,70, , , ,1, 
20068100,2,70, , ,1, , 
20068300,2,70,1,1,1,1, 
20068400,2,70,1,1,1,1, 
20068500,2,35,1,1,1,1, 
20068600,2,105,1,1,1,1, 
20068700,2,105, , ,1, , 
20068900,2,105, , ,1, , 
20069000,2,21,1,1,1,1, 
20069100,2,21, ,1,1,1, 
20069200,2,21, , , , , 
20069400,2,70, , ,1, , 
20069500,2,70, ,1, , , 
20069502,2,70,1,1, , , 
20069504,2,70, ,1, , , 
20069600,2,14,1,1,1,1, 
20069700,2,70, , , , , 
20069800,2,56, , , , , 
20069900,2,14,1,1,1,1, 
20070000,2,14,1,1,1,1, 
20070100,2,56, , ,1, , 
20070200,2,28, ,1, , , 
20070300,2,56,1,1, , , 
20070400,2,7, , , , , 
20070500,2,56, , ,1, , 
20070600,2,84, ,1, , , 
20070601,2,84, ,1, , , 
20070602,2,84, ,1, , , 
20070603,2,84, ,1, , , 
20070700,2,84, , ,1, , 
20070800,2,98,1,1,1,1, 
20070900,2,98, ,1, , , 
20071000,2,98, , ,1, , 
20071100,2,56, , ,1, , 
20071300,2,14, ,1, , , 
20071302,2,14, ,1, , , 
20071303,2,14, ,1, , , 
20071400,2,98, , ,1, , 
20071500,2,14, , , , , 
20071600,2,98,1,1,1,1, 
20071700,2,98,1,1,1,1, 
20071800,2,98,1,1,1,1, 
20072000,2,21, , , , , 
20072100,2,14,1,1,1,1, 
20072200,2,70, , , , , 
20072300,2,70,1,1,1,1, 
20072400,2,84, , , ,1,1
20072600,2,84, , ,1, , 
20072700,2,105, , ,1, , 
20072800,2,105,1,1,1,1, 
20072900,2,98,1,1,1,1, 
20073000,2,98, , ,1, , 
20073100,2,98, , ,1, , 
20073200,2,105, , , ,1, 
20073300,2,98,1,1,1,1, 
20073500,2,105, , ,1, , 
20073600,2,56,1,1,1, , 
20073700,2,63, ,1, , , 
20073701,2,63, ,1, , , 
20073702,2,63, ,1, , , 
20073703,2,63, ,1, , , 
20073800,2,63,1,1,1,1, 
20073900,2,98,1,1,1,1, 
20074000,2,98,1,1,1,1, 
20074100,2,21,1,1,1, , 
20074200,2,21, , , , , 
20074300,2,98, , ,1, , 
20074400,2,14, , , ,1, 
20074500,2,70, , ,1, , 
20074600,2,70, , , ,1,1
20074700,2,14, ,1,1,1, 
20074800,2,7,1,1,1,1, 
20074900,2,7, ,1,1,1, 
20075000,2,70, , , , , 
20075100,2,70, , ,1, , 
20075200,2,7, , , , , 
20075300,2,42,1,1,1,1, 
20075500,2,42, , , ,1, 
20075600,2,42, , , ,1, 
20075700,2,84, ,1, , , 
20075800,2,105, , ,1, , 
20076000,2,63, , ,1, , 
20076100,2,70, , ,1, , 
20076200,2,63, , ,1, , 
20076300,2,63, , ,1, , 
20076500,2,42, , ,1, , 
20076600,2,35, ,1,1, , 
20076700,2,42,1,1,1,1, 
20076800,2,7, ,1,1,1, 
20076900,2,7, ,1,1, , 
20077000,2,28, , , ,1, 
20077100,2,7, , , , , 
20077200,2,28, , ,1, , 
20077400,2,70, , ,1, , 
20077500,2,70, , ,1, , 
20077600,2,70,1,1,1,1, 
20077800,2,70, , ,1, , 
20077900,2,49, , , ,1, 
20078000,2,63, , ,1, , 
20078100,2,70, ,1,1,1, 
20078300,2,84, ,1,1,1, 
20078400,2,84, , ,1, , 
20078500,2,84,1,1,1,1, 
20078600,2,49, , ,1, , 
20078700,2,98, , , , , 
20078900,2,7, ,1,1, , 
20079000,2,7, ,1, , , 
20079100,2,7, , ,1, , 
20079300,2,28, , , , , 
20079400,2,7, , ,1, , 
20079500,2,7, , , , , 
20079700,2,70,1,1, , , 
20079900,2,91, , ,1, , 
20080000,2,98,1,1, , , 
20080001,2,91, ,1, , , 
20080002,2,98, ,1, , , 
20080300,2,98, ,1, , , 
20080500,2,91, , ,1, , 
20080800,2,98, , , ,1,1
20080900,2,98, , ,1, , 
20081000,2,98,1,1, , , 
20081100,2,98, , ,1, , 
20081300,2,98, , ,1, , 
20081400,2,98, , ,1, , 
20081600,2,21,1,1, , , 
20081800,2,21, , ,1, , 
20082000,2,49, , ,1, , 
20082200,2,84,1,1,1,1, 
20082300,2,84,1,1,1,1, 
20082400,2,84, , ,1, , 
20082500,2,84, , , ,1, 
20082600,2,84, , ,1, , 
20082800,2,42,1,1,1,1, 
20082900,2,49, , ,1, , 
20083000,2,49, , ,1, , 
20083100,2,49, , ,1, , 
20083200,2,49, ,1,1, , 
20083300,2,49, ,1,1,1, 
20083400,2,49,1,1,1,1, 
20083500,2,98, , , ,1, 
20083800,2,28, , , ,1,1
20083900,2,21, , , ,1, 
20084000,2,21, , , ,1,1
20084300,2,28, , , ,1,1
20084500,2,84,1,1,1,1, 
20084600,2,49, , ,1, , 
20084800,2,49, ,1, , , 
20084801,2,77, ,1, , , 
20084802,2,77, ,1, , , 
20084803,2,77, ,1, , , 
20084804,2,49, ,1, , , 
20084900,2,77, , , ,1, 
20085000,2,77, , ,1, , 
20085100,2,77, , , , , 
20085200,2,35, , , , , 
20085400,2,35, , , , , 
20085500,2,35,1,1,1,1, 
20085600,2,77,1,1,1, , 
20085800,2,77, , , , , 
20085900,2,77, , , ,1, 
20086000,2,77,1,1,1,1, 
20086200,2,77, , ,1,1, 
20086400,2,21, , ,1, , 
20086500,2,21, , , ,1,1
20086600,2,21, ,1,1,1, 
20086700,2,7, , , ,1, 
20086800,2,14,1,1,1,1, 
20086900,2,7, , ,1, , 
20087000,2,7, , , , , 
20087100,2,42, , , ,1, 
20087200,2,42,1,1, , , 
20087201,2,42, ,1, , , 
20087202,2,35, ,1, , , 
20087300,2,42, ,1,1,1, 
20087400,2,105, , ,1, , 
20087500,2,56, ,1,1,1, 
20087600,2,42, , , ,1,1
20087700,2,42, , ,1, , 
20087800,2,77, , ,1, , 
20087900,2,35, ,1, , , 
20087902,2,105, ,1, , , 
20087903,2,42,1,1, , , 
20088000,2,42, , ,1, , 
20088100,2,105, , ,1, , 
20088200,2,42, , ,1, , 
20088300,2,42, , , ,1, 
20088400,2,49, , ,1, , 
20088500,2,42,1,1,1,1, 
20088600,2,42, ,1,1,1, 
20088700,2,105, , ,1, , 
20088800,2,21, , ,1, , 
20088900,2,35,1,1, , , 
20089000,2,21, , , , , 
20089100,2,70,1,1,1, , 
20089200,2,77, , ,1, , 
20089300,2,77, , ,1, , 
20089400,2,70, , ,1, , 
20089500,2,77, , ,1, , 
20089501,2,77,1,1, , , 
20089502,2,77, , , ,1, 
20089600,2,84, , ,1, , 
20089700,2,84,1,1,1,1, 
20089800,2,77, , ,1, , 
20089900,2,77,1,1,1,1, 
20090100,2,35,1,1, , , 
20090200,2,35, , ,1, , 
20090300,2,77, , , ,1,1
20090400,2,77,1,1,1,1, 
20090500,2,77, , , , , 
20090600,2,49, , ,1, , 
20090700,2,49, , ,1, , 
20090900,2,49,1,1, , , 
20091000,2,42, ,1,1,1, 
20091100,2,63, , , ,1,1
20091200,2,98, ,1,1,1, 
20091400,2,21,1,1,1, , 
20091600,2,98,1,1,1, , 
20091800,2,98,1,1,1,1, 
20092000,2,14, , , ,1, 
20092100,2,14, ,1,1, , 
20092200,2,14,1,1,1,1, 
20092500,2,42, ,1,1,1, 
20092600,2,98,1,1,1,1, 
20092700,2,63, , ,1, , 
20092800,2,63, , ,1, , 
20092900,2,63, , ,1, , 
20093000,2,63, , , ,1, 
20093001,2,63, , , ,1, 
20093100,2,63, ,1, , , 
20093101,2,63, ,1, , , 
20093102,2,63, ,1, , , 
20093103,2,70, ,1, , , 
20093104,2,63, ,1, , , 
20093105,2,63, ,1, , , 
20093200,2,63, , ,1, , 
20093300,2,70, , ,1, , 
20093400,2,63, , ,1, , 
20093500,2,63, , ,1, , 
20093600,2,77, , ,1, , 
20093700,2,77, , , , , 
20093800,2,63, , ,1, , 
20093900,2,77, , , ,1,1
20094000,2,35, ,1,1, , 
20094100,2,63, , ,1, , 
20094200,2,63, , , ,1, 
20094300,2,63,1,1,1,1, 
20094400,2,63, , , ,1, 
20094500,2,63, ,1,1,1, 
20094700,2,63, , ,1, , 
20094800,2,63,1,1,1, , 
20094900,2,98,1,1,1,1, 
20095000,2,98, , , ,1, 
20095100,2,98,1,1,1,1, 
20095200,2,98, , , , , 
20095300,2,91, ,1, , , 
20095400,2,98, ,1, , , 
20095401,2,105, ,1, , , 
20095402,2,105, ,1, , , 
20095500,2,21, ,1,1,1, 
20095600,2,21,1,1,1,1, 
20095700,2,14, , , ,1, 
20095800,2,21, , , ,1, 
20095900,2,49, ,1,1,1, 
20096000,2,70,1,1,1,1, 
20096100,2,70, , ,1, , 
20096200,2,49,1,1,1, , 
20096300,2,7, , , , , 
20096301,2,63, , , , , 
20096302,2,49, , , , , 
20096500,2,7, , , , , 
20096600,2,77,1,1,1,1, 
20096700,2,77,1,1,1,1, 
20096800,2,77,1,1,1,1, 
20096900,2,105, , , , , 
20097000,2,77, , ,1, , 
20097100,2,77, , ,1, , 
20097200,2,35, , ,1, , 
20097300,2,35, , , ,1, 
